Process_all,Process_name,Region,General_information,Unit,count_excel,Process_info_withoutregion,count_all_excel
"aluminium scrap, post-consumer, prepared for melting//[RER] treatment of aluminium scrap, post-consumer, prepared for recycling, at remelter","aluminium scrap, post-consumer, prepared for melting",[RER],"treatment of aluminium scrap, post-consumer, prepared for recycling, at remelter",kg,5,"aluminium scrap, post-consumer, prepared for melting_treatment of aluminium scrap, post-consumer, prepared for recycling, at remelter",2
"ash from deinking sludge//[CH] treatment of ash from deinking sludge, residual material landfill",ash from deinking sludge,[CH],"treatment of ash from deinking sludge, residual material landfill",kg,3,"ash from deinking sludge_treatment of ash from deinking sludge, residual material landfill",2
"ash from paper production sludge//[CH] treatment of ash from paper production sludge, residual material landfill",ash from paper production sludge,[CH],"treatment of ash from paper production sludge, residual material landfill",kg,3,"ash from paper production sludge_treatment of ash from paper production sludge, residual material landfill",2
spent automobile catalyst//[RER] treatment of automobile catalyst,spent automobile catalyst,[RER],treatment of automobile catalyst,kg,3,spent automobile catalyst_treatment of automobile catalyst,2
"average incineration residue//[CH] treatment of average incineration residue, residual material landfill",average incineration residue,[CH],"treatment of average incineration residue, residual material landfill",kg,3,"average incineration residue_treatment of average incineration residue, residual material landfill",2
"bagasse, from sugarcane//[GLO] treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","bagasse, from sugarcane",[GLO],"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal",kg,2,"bagasse, from sugarcane_treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal",1
"bagasse, from sweet sorghum//[GLO] treatment of bagasse, from sweet sorghum, in heat and power co-generation unit, 6400kW thermal","bagasse, from sweet sorghum",[GLO],"treatment of bagasse, from sweet sorghum, in heat and power co-generation unit, 6400kW thermal",kg,2,"bagasse, from sweet sorghum_treatment of bagasse, from sweet sorghum, in heat and power co-generation unit, 6400kW thermal",1
"basic oxygen furnace waste//[CH] treatment of basic oxygen furnace waste, residual material landfill",basic oxygen furnace waste,[CH],"treatment of basic oxygen furnace waste, residual material landfill",kg,3,"basic oxygen furnace waste_treatment of basic oxygen furnace waste, residual material landfill",2
"bilge oil//[CH] treatment of bilge oil, hazardous waste incineration",bilge oil,[CH],"treatment of bilge oil, hazardous waste incineration",kg,3,"bilge oil_treatment of bilge oil, hazardous waste incineration",2
"biogas//[CH] treatment of biogas, purification to methane 96 vol-%",biogas,[CH],"treatment of biogas, purification to methane 96 vol-%",m3,37,"biogas_treatment of biogas, purification to methane 96 vol-%",1
"biowaste//[CH] treatment of biowaste, composting",biowaste,[CH],"treatment of biowaste, composting",kg,6,"biowaste_treatment of biowaste, composting",1
"biowaste//[GLO] treatment of biowaste, municipal incineration",biowaste,[GLO],"treatment of biowaste, municipal incineration",kg,6,"biowaste_treatment of biowaste, municipal incineration",1
"blast furnace gas//[AT] treatment of blast furnace gas, in power plant",blast furnace gas,[AT],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[AU] treatment of blast furnace gas, in power plant",blast furnace gas,[AU],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[BA] treatment of blast furnace gas, in power plant",blast furnace gas,[BA],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[BE] treatment of blast furnace gas, in power plant",blast furnace gas,[BE],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[BG] treatment of blast furnace gas, in power plant",blast furnace gas,[BG],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[BR] treatment of blast furnace gas, in power plant",blast furnace gas,[BR],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[CA-AB] treatment of blast furnace gas, in power plant",blast furnace gas,[CA-AB],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[CA-NB] treatment of blast furnace gas, in power plant",blast furnace gas,[CA-NB],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[CA-NS] treatment of blast furnace gas, in power plant",blast furnace gas,[CA-NS],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[CA-ON] treatment of blast furnace gas, in power plant",blast furnace gas,[CA-ON],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[CA-PE] treatment of blast furnace gas, in power plant",blast furnace gas,[CA-PE],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[CN] treatment of blast furnace gas, in power plant",blast furnace gas,[CN],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[CZ] treatment of blast furnace gas, in power plant",blast furnace gas,[CZ],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[DE] treatment of blast furnace gas, in power plant",blast furnace gas,[DE],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[ES] treatment of blast furnace gas, in power plant",blast furnace gas,[ES],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[FI] treatment of blast furnace gas, in power plant",blast furnace gas,[FI],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[FR] treatment of blast furnace gas, in power plant",blast furnace gas,[FR],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[GB] treatment of blast furnace gas, in power plant",blast furnace gas,[GB],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[HR] treatment of blast furnace gas, in power plant",blast furnace gas,[HR],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[HU] treatment of blast furnace gas, in power plant",blast furnace gas,[HU],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[IR] treatment of blast furnace gas, in power plant",blast furnace gas,[IR],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[IT] treatment of blast furnace gas, in power plant",blast furnace gas,[IT],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[JP] treatment of blast furnace gas, in power plant",blast furnace gas,[JP],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[KR] treatment of blast furnace gas, in power plant",blast furnace gas,[KR],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[MX] treatment of blast furnace gas, in power plant",blast furnace gas,[MX],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[NL] treatment of blast furnace gas, in power plant",blast furnace gas,[NL],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[NO] treatment of blast furnace gas, in power plant",blast furnace gas,[NO],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[PL] treatment of blast furnace gas, in power plant",blast furnace gas,[PL],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[RO] treatment of blast furnace gas, in power plant",blast furnace gas,[RO],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[RS] treatment of blast furnace gas, in power plant",blast furnace gas,[RS],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[RU] treatment of blast furnace gas, in power plant",blast furnace gas,[RU],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[SE] treatment of blast furnace gas, in power plant",blast furnace gas,[SE],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[SK] treatment of blast furnace gas, in power plant",blast furnace gas,[SK],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[TR] treatment of blast furnace gas, in power plant",blast furnace gas,[TR],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[TW] treatment of blast furnace gas, in power plant",blast furnace gas,[TW],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
"blast furnace gas//[UA] treatment of blast furnace gas, in power plant",blast furnace gas,[UA],"treatment of blast furnace gas, in power plant",MJ,38,"blast furnace gas_treatment of blast furnace gas, in power plant",37
